mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour,Robust_pTour_theoretic
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,0.5,4258743,3397401
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,0.75,3553767,3264415
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,1.0,2902835,3186929
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,1.25,3049812,3199473
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,0.25,6806671,4075875
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,0.5,3997886,3465430
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,0.75,3365152,3300636
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,1.0,3314868,3275943
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,1.25,3161697,3170476
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,0.25,5722328,3723556
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,0.5,4157550,3349679
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,0.75,3129901,3233050
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,1.0,3357413,3177575
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,1.25,3091654,3120466
1140963,1868247,3302343,3270719,2412369,2470451,21349096,12788920,0.25,5772497,3815009
1140963,1868247,3302343,3270719,2412369,2470451,21349096,12788920,0.5,4213201,3430403
1140963,1868247,3302343,3270719,2412369,2470451,21349096,12788920,0.75,3134140,3285177
1140963,1868247,3302343,3270719,2412369,2470451,21349096,12788920,1.0,3393481,3237771
1140963,1868247,3302343,3270719,2412369,2470451,21349096,12788920,1.25,3067076,3193053
1140963,1868247,3302343,3270719,2412369,2470451,22820621,13958155,0.25,6043431,3960937
1140963,1868247,3302343,3270719,2412369,2470451,22820621,13958155,0.5,4296159,3503026
1140963,1868247,3302343,3270719,2412369,2470451,22820621,13958155,0.75,3180817,3282385
1140963,1868247,3302343,3270719,2412369,2470451,22820621,13958155,1.0,3271006,3195231
1140963,1868247,3302343,3270719,2412369,2470451,22820621,13958155,1.25,3129984,3154145
1140963,1868247,3302343,3270719,2412369,2470451,16696438,11104676,0.25,5456198,3826405
1140963,1868247,3302343,3270719,2412369,2470451,16696438,11104676,0.5,3797255,3360443
1140963,1868247,3302343,3270719,2412369,2470451,16696438,11104676,0.75,3148517,3269304
1140963,1868247,3302343,3270719,2412369,2470451,16696438,11104676,1.0,3171581,3263425
1140963,1868247,3302343,3270719,2412369,2470451,16696438,11104676,1.25,3046613,3178804
1140963,1868247,3302343,3270719,2412369,2470451,19793493,11049972,0.25,5667323,3692504
1140963,1868247,3302343,3270719,2412369,2470451,19793493,11049972,0.5,3753633,3390570
1140963,1868247,3302343,3270719,2412369,2470451,19793493,11049972,0.75,3162172,3241409
1140963,1868247,3302343,3270719,2412369,2470451,19793493,11049972,1.0,3126231,3154790
1140963,1868247,3302343,3270719,2412369,2470451,19793493,11049972,1.25,3038901,3172788
1140963,1868247,3302343,3270719,2412369,2470451,22107352,12679767,0.25,5973160,3860305
1140963,1868247,3302343,3270719,2412369,2470451,22107352,12679767,0.5,3938561,3435382
1140963,1868247,3302343,3270719,2412369,2470451,22107352,12679767,0.75,3213331,3305604
1140963,1868247,3302343,3270719,2412369,2470451,22107352,12679767,1.0,3300081,3226878
1140963,1868247,3302343,3270719,2412369,2470451,22107352,12679767,1.25,3104271,3136438
1140963,1868247,3302343,3270719,2412369,2470451,28385925,16901564,0.25,7256809,4194717
1140963,1868247,3302343,3270719,2412369,2470451,28385925,16901564,0.5,4879269,3593312
1140963,1868247,3302343,3270719,2412369,2470451,28385925,16901564,0.75,3603081,3394904
1140963,1868247,3302343,3270719,2412369,2470451,28385925,16901564,1.0,3296370,3313428
1140963,1868247,3302343,3270719,2412369,2470451,28385925,16901564,1.25,3140675,3272148
1140963,1868247,3302343,3270719,2412369,2470451,1394915,2557460,0.25,2280670,2550547
1140963,1868247,3302343,3270719,2412369,2470451,1394915,2557460,0.5,2224098,2624086
1140963,1868247,3302343,3270719,2412369,2470451,1394915,2557460,0.75,2319574,2738927
1140963,1868247,3302343,3270719,2412369,2470451,1394915,2557460,1.0,2548793,2825273
1140963,1868247,3302343,3270719,2412369,2470451,1394915,2557460,1.25,2690333,2879550
1140963,1868247,3302343,3270719,2412369,2470451,19073320,12208265,0.25,5734163,3844010
1140963,1868247,3302343,3270719,2412369,2470451,19073320,12208265,0.5,4118285,3472003
1140963,1868247,3302343,3270719,2412369,2470451,19073320,12208265,0.75,3164483,3282703
1140963,1868247,3302343,3270719,2412369,2470451,19073320,12208265,1.0,3414528,3193893
1140963,1868247,3302343,3270719,2412369,2470451,19073320,12208265,1.25,3118395,3137486
1140963,1868247,3302343,3270719,2412369,2470451,3798685,3839475,0.25,2918102,2892716
1140963,1868247,3302343,3270719,2412369,2470451,3798685,3839475,0.5,2645680,2858611
1140963,1868247,3302343,3270719,2412369,2470451,3798685,3839475,0.75,2701397,2913826
1140963,1868247,3302343,3270719,2412369,2470451,3798685,3839475,1.0,2890403,2939490
1140963,1868247,3302343,3270719,2412369,2470451,3798685,3839475,1.25,2847746,3006377
1140963,1868247,3302343,3270719,2412369,2470451,12555993,9427467,0.25,4953468,3484335
1140963,1868247,3302343,3270719,2412369,2470451,12555993,9427467,0.5,3592808,3149615
1140963,1868247,3302343,3270719,2412369,2470451,12555993,9427467,0.75,3024140,3158354
1140963,1868247,3302343,3270719,2412369,2470451,12555993,9427467,1.0,2972964,3097687
1140963,1868247,3302343,3270719,2412369,2470451,12555993,9427467,1.25,3019928,3096472
1140963,1868247,3302343,3270719,2412369,2470451,19952884,11424938,0.25,5528288,3782543
1140963,1868247,3302343,3270719,2412369,2470451,19952884,11424938,0.5,4063106,3376295
1140963,1868247,3302343,3270719,2412369,2470451,19952884,11424938,0.75,3122031,3237121
1140963,1868247,3302343,3270719,2412369,2470451,19952884,11424938,1.0,3186472,3222157
1140963,1868247,3302343,3270719,2412369,2470451,19952884,11424938,1.25,3084606,3152302
1140963,1868247,3302343,3270719,2412369,2470451,38203,1880533,0.25,1900606,2357991
1140963,1868247,3302343,3270719,2412369,2470451,38203,1880533,0.5,2006797,2493941
1140963,1868247,3302343,3270719,2412369,2470451,38203,1880533,0.75,2159410,2645756
1140963,1868247,3302343,3270719,2412369,2470451,38203,1880533,1.0,2423571,2747889
1140963,1868247,3302343,3270719,2412369,2470451,38203,1880533,1.25,2585504,2772225
1140963,1868247,3302343,3270719,2412369,2470451,13959256,8642439,0.25,4439300,3462388
1140963,1868247,3302343,3270719,2412369,2470451,13959256,8642439,0.5,3514882,3218216
1140963,1868247,3302343,3270719,2412369,2470451,13959256,8642439,0.75,2981364,3157639
1140963,1868247,3302343,3270719,2412369,2470451,13959256,8642439,1.0,3289686,3130915
1140963,1868247,3302343,3270719,2412369,2470451,13959256,8642439,1.25,3050989,3170838
1140963,1868247,3302343,3270719,2412369,2470451,24861426,15351172,0.25,6943680,4087234
1140963,1868247,3302343,3270719,2412369,2470451,24861426,15351172,0.5,4196735,3445343
1140963,1868247,3302343,3270719,2412369,2470451,24861426,15351172,0.75,3308274,3318402
1140963,1868247,3302343,3270719,2412369,2470451,24861426,15351172,1.0,3149230,3248976
1140963,1868247,3302343,3270719,2412369,2470451,24861426,15351172,1.25,3122120,3143096
1140963,1868247,3302343,3270719,2412369,2470451,23518762,14029268,0.25,6186579,3939739
1140963,1868247,3302343,3270719,2412369,2470451,23518762,14029268,0.5,4373126,3482996
1140963,1868247,3302343,3270719,2412369,2470451,23518762,14029268,0.75,3830299,3257171
1140963,1868247,3302343,3270719,2412369,2470451,23518762,14029268,1.0,3125872,3239054
1140963,1868247,3302343,3270719,2412369,2470451,23518762,14029268,1.25,3064200,3178486
1140963,1868247,3302343,3270719,2412369,2470451,29930690,18392251,0.25,7615070,4231125
1140963,1868247,3302343,3270719,2412369,2470451,29930690,18392251,0.5,4227749,3598973
1140963,1868247,3302343,3270719,2412369,2470451,29930690,18392251,0.75,3502775,3357282
1140963,1868247,3302343,3270719,2412369,2470451,29930690,18392251,1.0,3417770,3292139
1140963,1868247,3302343,3270719,2412369,2470451,29930690,18392251,1.25,3147114,3177032
1140963,1868247,3302343,3270719,2412369,2470451,1007759,2371859,0.25,2120026,2478595
1140963,1868247,3302343,3270719,2412369,2470451,1007759,2371859,0.5,2174458,2584805
1140963,1868247,3302343,3270719,2412369,2470451,1007759,2371859,0.75,2285478,2708768
1140963,1868247,3302343,3270719,2412369,2470451,1007759,2371859,1.0,2566084,2781295
1140963,1868247,3302343,3270719,2412369,2470451,1007759,2371859,1.25,2644756,2838854
1140963,1868247,3302343,3270719,2412369,2470451,23929226,12880181,0.25,5457394,3895430
1140963,1868247,3302343,3270719,2412369,2470451,23929226,12880181,0.5,4132992,3426123
1140963,1868247,3302343,3270719,2412369,2470451,23929226,12880181,0.75,3254860,3308709
1140963,1868247,3302343,3270719,2412369,2470451,23929226,12880181,1.0,3166558,3228021
1140963,1868247,3302343,3270719,2412369,2470451,23929226,12880181,1.25,3134244,3145624
